energy,intensity,residual,fit,pseudovoigt_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6
-0.0833333333333388,0.5580343781043237,-0.026735326360249112,0.5312990517440745,0.5312990517440745,9.501546304836243e-47,4.2264445598611785e-44,2.317807179982623e-63,1.3186121540876783e-152,1.53340693685449e-119
-0.0666666666666722,0.5954783032481118,0.03168815856931462,0.6271664618174264,0.6271664618174264,6.235796940623601e-46,1.6663171369100755e-43,1.2066283757946982e-62,1.742238450564826e-151,1.6794449390439817e-118
-0.0500000000000056,0.741052184253777,-0.00507425233446579,0.7359779319193112,0.7359779319193112,4.0230609343467186e-45,6.506675869070341e-43,6.221409563151174e-62,2.2799070516445654e-150,1.8200556850444365e-117
-0.0333333333333389,0.838197602601856,0.012888478987179708,0.8510860815890358,0.8510860815890358,2.551456844639206e-44,2.5164002099538845e-42,3.17704289467908e-61,2.954919930375594e-149,1.9517048451437677e-116
-0.0166666666666723,0.9513897921608993,0.007268586613936701,0.958658378774836,0.958658378774836,1.5906946269949326e-43,9.638718137487643e-42,1.6068539042691807e-60,3.7930915115852004e-148,2.070876330028549e-115
-5.773159728050815e-15,0.9991456688422116,0.05499068661757578,1.0541363554597873,1.0541363554597873,9.74882718283947e-43,3.656603545984574e-41,8.049126152515559e-60,4.822363590605742e-147,2.1742263124864318e-114
0.0166666666666608,1.0900891532152457,0.10561653542018523,1.195705688635431,1.195705688635431,5.873336721476537e-42,1.3739011893909591e-40,3.993375081425128e-59,6.0721936124886545e-146,2.2587381624703177e-113
0.0333333333333274,0.9973225325465216,0.0660163139026737,1.0633388464491953,1.0633388464491953,3.478439055087636e-41,5.112721667918417e-40,1.9622326647127946e-58,7.572692070879732e-145,2.321868346735085e-112
0.049999999999994,0.906261276926932,0.059366872454873376,0.9656281493818054,0.9656281493818054,2.025120489993819e-40,1.884377152251184e-39,9.54948445813359e-58,9.353497016605251e-144,2.361673473549702e-111
0.0666666666666606,0.8241812742665023,0.03512722011939884,0.8593084943859012,0.8593084943859012,1.1590023262310048e-39,6.878639302161159e-39,4.6028665038486975e-57,1.1442390222470232e-142,2.3769096366484078e-110
0.0833333333333272,0.7832498289548987,-0.039061524070232556,0.7441883048846661,0.7441883048846661,6.520557334761393e-39,2.4868882565988596e-38,2.1973329095673825e-56,1.3863679979348567e-141,2.3670969747106315e-109
0.0999999999999938,0.6185705157749193,0.01605398985037365,0.6346245056252929,0.6346245056252929,3.606219013848364e-38,8.90489974056925e-38,1.0389206270173538e-55,1.6636398817574514e-140,2.3325447718323746e-108
0.1166666666666604,0.5147752382697125,0.022947793640453185,0.5377230319101657,0.5377230319101657,1.960588497283964e-37,3.1580632553128837e-37,4.865056693308956e-55,1.9772389128693115e-139,2.2743352672815814e-107
0.1333333333333271,0.4950946246505369,-0.039642714110434796,0.4554519105401021,0.4554519105401021,1.047822626530619e-36,1.1092556330892581e-36,2.256381186490171e-54,2.32743736781254e-138,2.1942673569145563e-106
0.1499999999999936,0.4263263114321823,-0.0392573614139019,0.3870689500182804,0.3870689500182804,5.504984048060346e-36,3.858881914654738e-36,1.0364683914524962e-53,2.7134128942082907e-137,2.0947642720898275e-105
0.1666666666666603,0.3960140991859387,-0.06525912202747025,0.33075497715846847,0.33075497715846847,2.8430947142699204e-35,1.3295674150414337e-35,4.715401554324297e-53,3.1330894481179007e-136,1.9787518454467288e-104
0.1833333333333268,0.2911808314695198,-0.006703831921365699,0.2844769995481541,0.2844769995481541,1.443422801734715e-34,4.5370990936540876e-35,2.1247132696787313e-52,3.583015866057428e-135,1.849515890272588e-103
0.1999999999999935,0.2944689348278017,-0.04810458105537602,0.24636435377242566,0.24636435377242566,7.203818557957503e-34,1.5334343739208938e-34,9.482023034717981e-52,4.058295780034343e-134,1.710548372801977e-102
0.21666666666666,0.2741346452275327,-0.05930284591883331,0.21483179930869942,0.21483179930869942,3.534263621270032e-33,5.132998670282741e-34,4.191029421368632e-51,4.5525810830240766e-133,1.565392369609851e-101
0.2333333333333267,0.2355511806528844,-0.04696265357983037,0.18858852707305404,0.18858852707305404,1.704519938599336e-32,1.701751480251757e-33,1.8346762586481957e-50,5.0581384238733925e-132,1.4174952887328105e-100
0.2499999999999933,0.1961136506830882,-0.029509852985039386,0.1666037976980488,0.1666037976980488,8.08113201551432e-32,5.587790952737236e-33,7.954579018653299e-50,5.565994322550714e-131,1.2700785893578645e-99
0.2666666666666599,0.2283740469882358,-0.08031250470844192,0.14806154227979387,0.14806154227979387,3.7662512424110897e-31,1.8172019372483236e-32,3.415812216903514e-49,6.066159644249648e-130,1.1260304239962083e-98
0.2833333333333265,0.1364080115728444,-0.004090908059526249,0.13231710351331816,0.13231710351331816,1.7254935684991815e-30,5.853090779405874e-32,1.452746381747639e-48,6.547928671934078e-129,9.878254566118158e-98
0.2999999999999932,0.1670333281564165,-0.04817284550858124,0.11886048264783526,0.11886048264783526,7.771133546237797e-30,1.867180729617316e-31,6.119340863802668e-48,7.000242292790064e-128,8.574738060490797e-97
0.3166666666666597,0.1117890395141371,-0.004502316562533512,0.10728672295160359,0.10728672295160359,3.440506402369729e-29,5.8993814874766e-31,2.5529277018173116e-47,7.412099354699817e-127,7.364988441854924e-96
0.3333333333333264,0.1112347183283852,-0.013962049769382381,0.09727266855900282,0.09727266855900282,1.4973638324949557e-28,1.846059239626455e-30,1.0548517175739383e-46,7.772995566900847e-126,6.259416296730467e-95
0.349999999999993,0.1315763611710337,-0.04301739779831468,0.08855896337271901,0.08855896337271901,6.4061820766485945e-28,5.7214197851089684e-30,4.3168140417796e-46,8.073365895711072e-125,5.263882204764806e-94
0.3666666666666596,0.0933445558105123,-0.012408370177938305,0.080936185632574,0.080936185632574,2.6942518373133314e-27,1.756228503454071e-29,1.7496625443470656e-45,8.305004637350202e-124,4.380150642501079e-93
0.3833333333333261,0.108274699127454,-0.03404051980362617,0.07423417932382782,0.07423417932382782,1.1138945213770502e-26,5.339213129247923e-29,7.023672883908006e-45,8.461437495780438e-123,3.606471389316484e-92
0.3999999999999928,0.1610756944022264,-0.09276186292797169,0.06831383147425472,0.06831383147425472,4.5270669646843527e-26,1.6076537611600972e-28,2.79250067420013e-44,8.538222143976001e-122,2.938234775692814e-91
0.4166666666666593,0.1474982352074414,-0.08443752220240418,0.06306071300503722,0.06306071300503722,1.808659192271437e-25,4.79431773087199e-28,1.0996166934326592e-43,8.53315780103087e-121,2.3686508970805558e-90
0.433333333333326,0.1432659882191752,-0.0848858494183633,0.05838013880081189,0.058380138800811894,7.10335519841699e-25,1.4160550322562976e-27,4.288529381050412e-43,8.446390027349134e-120,1.8894098658760646e-89
0.4499999999999926,0.1314913654681022,-0.07729805483270405,0.054193310635398145,0.05419331063539814,2.7424410071954653e-24,4.142404251820688e-27,1.656511606493008e-42,8.280403774029893e-119,1.4912891552082375e-88
0.4666666666666592,0.1244863052388569,-0.07405201615460336,0.05043428908425354,0.05043428908425354,1.0408257477052936e-23,1.2001730042148625e-26,6.337231968021729e-42,8.039905149639027e-118,1.1646839741349228e-87
0.4833333333333258,0.1184074961156304,-0.07135989331511478,0.04704760280051562,0.04704760280051561,3.883163981270629e-23,3.44392953297802e-26,2.4011746700754583e-41,7.73159975500799e-117,9.000463995036632e-87
